osm_id,ktCO2,ktC,mean_cars
1079762775,0.01,0.2,492.63
1079762778,0,0.02,487.89
1079762805,0,0.04,484.49
1079850782,0,0.01,487.15
1079850783,0,0.04,485.42
1079850784,0,0.05,483.27
1079850785,0,0.02,487.42
1079850786,0.02,0.46,466.21
1079850787,0,0.08,440.82
1079850788,0,0.04,490.39
1079850789,0,0.01,481.96
1079850790,0,0.03,491.33
1079900411,0,0.03,545.73
1079985703,0.03,0.62,502.45
108008178,0,0.04,467.36
1080200475,0.01,0.16,457.71
1080201924,0.01,0.26,466.16
1080223375,0,0.09,511.52
1080228840,0.01,0.14,496.61
1080229993,0,0.09,488.32
1080299689,0.02,0.53,484.37
108031933,0,0.06,489.62
108037688,0.01,0.23,543.9
108037692,0.02,0.42,494.12
1080530933,0,0.11,543.21
1080530934,0,0.07,540.69
1080606985,0,0.06,570.57
1080613698,0,0.09,482.4
1081039404,0,0.01,509.44
1081082812,0,0.09,322.63
1081120789,0,0.06,496.6
1081168698,0,0.07,472.09
1081168699,0,0.11,472.66
1081168905,0,0.11,465.38
1081169100,0.01,0.22,489.12
1081169101,0,0.02,452.51
1081624489,0,0.05,523.31
1081624522,0.01,0.12,480.91
1081727235,0,0.02,540.23
1081727236,0,0.03,542
1081838355,0,0.02,520.94
1081838387,0,0.02,477.86
1081850435,0.01,0.14,508.66
1081850436,0,0,530.76
1081850437,0,0.01,498.45
1081850438,0,0,493.9
1081850439,0,0.01,493.9
1081850441,0,0.02,494.62
1081850442,0,0.02,494.58
1081850443,0,0.02,489.34
1081891178,0,0.11,568.47
